,max_allocation,value
0,1.0,-111.0
1,1.0,-123.0
2,1.0,-114.0
3,1.0,-117.0
4,1.0,-75.0
5,1.0,-114.0
6,1.0,-99.0
7,1.0,-129.0
8,1.0,-114.0
9,1.0,-120.0
10,1.0,-81.0
11,1.0,-102.0
12,1.0,-132.0
13,1.0,-114.0
14,1.0,-111.0
15,1.0,-87.0
16,1.0,-126.0
17,1.0,-105.0
18,1.0,-111.0
19,1.0,-114.0
20,2.0,-54.0
21,2.0,-81.0
22,2.0,-93.0
23,2.0,-99.0
24,2.0,-66.0
25,2.0,-36.0
26,2.0,-99.0
27,2.0,-105.0
28,2.0,-78.0
29,2.0,-81.0
30,2.0,-24.0
31,2.0,-111.0
32,2.0,-111.0
33,2.0,-93.0
34,2.0,-99.0
35,2.0,-72.0
36,2.0,-75.0
37,2.0,-69.0
38,2.0,-60.0
39,2.0,-93.0
40,3.0,-108.0
41,3.0,-54.0
42,3.0,-60.0
43,3.0,6.0
44,3.0,-75.0
45,3.0,-3.0
46,3.0,-93.0
47,3.0,-87.0
48,3.0,-99.0
49,3.0,-18.0
50,3.0,-93.0
51,3.0,-60.0
52,3.0,36.0
53,3.0,-81.0
54,3.0,-48.0
55,3.0,-102.0
56,3.0,-69.0
57,3.0,-36.0
58,3.0,-42.0
59,3.0,-36.0
60,4.0,-84.0
61,4.0,12.0
62,4.0,-42.0
63,4.0,3.0
64,4.0,-87.0
65,4.0,-69.0
66,4.0,-60.0
67,4.0,-21.0
68,4.0,-12.0
69,4.0,6.0
70,4.0,48.0
71,4.0,-66.0
72,4.0,-36.0
73,4.0,12.0
74,4.0,-42.0
75,4.0,-3.0
76,4.0,-57.0
77,4.0,-99.0
78,4.0,-99.0
79,4.0,-66.0
80,8.0,-93.0
81,8.0,-81.0
82,8.0,-15.0
83,8.0,-75.0
84,8.0,-81.0
85,8.0,-75.0
86,8.0,48.0
87,8.0,-75.0
88,8.0,-30.0
89,8.0,-9.0
90,8.0,54.0
91,8.0,33.0
92,8.0,-114.0
93,8.0,66.0
94,8.0,51.0
95,8.0,-36.0
96,8.0,36.0
97,8.0,-57.0
98,8.0,3.0
99,8.0,-93.0
